trade_id,entry_time,exit_time,entry_ts_ms,exit_ts_ms,entry_price,exit_price,qty,pnl,return_pct,days_held,entry_reason,exit_reason
1,2019-04-10T20:00:00Z,2019-04-28T04:00:00Z,1554926400000,1556424000000,5169.55,5304.98,0.81684080,109.11,2.62,17.33,vdo_trend_accel,trailing_stop
2,2019-04-29T00:00:00Z,2019-05-17T04:00:00Z,1556496000000,1558065600000,5387.71,7341.74,1.77321799,3460.35,36.27,18.17,vdo_trend_accel,trailing_stop
3,2019-05-17T20:00:00Z,2019-06-04T00:00:00Z,1558123200000,1559606400000,7620.94,8113.23,1.70964236,836.79,6.46,17.17,vdo_dip_buy,trailing_stop
4,2019-06-06T04:00:00Z,2019-06-27T16:00:00Z,1559793600000,1561651200000,7881.60,11826.45,1.76787354,6966.68,50.05,21.50,vdo_trend_accel,trailing_stop
5,2019-07-03T04:00:00Z,2019-07-12T04:00:00Z,1562126400000,1562904000000,11433.57,11186.15,1.41049662,-354.50,-2.16,9.00,vdo_trend_accel,trailing_stop
6,2019-07-18T08:00:00Z,2019-07-23T16:00:00Z,1563436800000,1563897600000,10491.73,9927.61,1.16039300,-658.63,-5.38,5.33,vdo_trend_accel,trailing_stop
7,2019-07-25T04:00:00Z,2019-08-11T00:00:00Z,1564027200000,1565481600000,9879.35,11305.85,1.92302641,2735.58,14.44,16.83,vdo_trend_accel,trailing_stop
8,2019-08-16T16:00:00Z,2019-08-21T16:00:00Z,1565971200000,1566403200000,10325.77,9983.77,2.12281416,-733.41,-3.31,5.00,vdo_trend_accel,emergency_dd
9,2019-08-23T16:00:00Z,2019-08-28T20:00:00Z,1566576000000,1567022400000,10264.51,9682.32,1.84268656,-1079.03,-5.67,5.17,vdo_trend_accel,emergency_dd
10,2019-08-31T00:00:00Z,2019-09-09T04:00:00Z,1567209600000,1568001600000,9635.09,10297.13,2.20344464,1450.82,6.87,9.17,vdo_trend_accel,trailing_stop
11,2019-09-12T00:00:00Z,2019-09-19T04:00:00Z,1568246400000,1568865600000,10237.81,9819.75,2.17435394,-916.47,-4.08,7.17,vdo_trend_accel,emergency_dd
12,2019-09-20T00:00:00Z,2019-09-24T00:00:00Z,1568937600000,1569283200000,10148.50,9699.29,1.36538525,-617.99,-4.43,4.00,vdo_trend_accel,emergency_dd
13,2019-09-26T00:00:00Z,2019-11-01T04:00:00Z,1569456000000,1572580800000,8432.58,9061.40,0.45496023,284.65,7.46,36.17,vdo_dip_buy,trailing_stop
14,2019-11-02T00:00:00Z,2019-11-15T16:00:00Z,1572652800000,1573833600000,9269.92,8476.91,2.01494389,-1603.85,-8.55,13.67,vdo_trend,emergency_dd
15,2020-01-17T08:00:00Z,2020-02-16T20:00:00Z,1579248000000,1581883200000,9165.57,9742.99,1.96498073,1127.91,6.30,30.50,vdo_trend_accel,trailing_stop
16,2020-02-18T16:00:00Z,2020-02-26T08:00:00Z,1582041600000,1582704000000,9822.65,9145.34,2.12990618,-1449.43,-6.90,7.67,vdo_trend_accel,emergency_dd
17,2020-02-29T00:00:00Z,2020-03-08T12:00:00Z,1582934400000,1583668800000,8713.05,8738.68,2.03648431,45.96,0.29,8.50,vdo_trend_accel,trailing_stop
18,2020-05-01T08:00:00Z,2020-05-10T04:00:00Z,1588320000000,1589083200000,9176.03,8620.14,0.18895907,-105.61,-6.06,8.83,vdo_trend,trailing_stop
19,2020-05-17T16:00:00Z,2020-05-25T00:00:00Z,1589731200000,1590364800000,9705.08,8715.52,1.66195348,-1649.66,-10.20,7.33,vdo_trend_accel,emergency_dd
20,2020-05-26T08:00:00Z,2020-06-04T08:00:00Z,1590480000000,1591257600000,9115.70,9646.70,1.87819819,990.97,5.83,9.00,vdo_trend_accel,trailing_stop
21,2020-06-05T00:00:00Z,2020-06-27T20:00:00Z,1591315200000,1593288000000,9625.38,8934.77,1.89487132,-1314.54,-7.17,22.83,vdo_trend_accel,emergency_dd
22,2020-06-29T20:00:00Z,2020-08-03T00:00:00Z,1593460800000,1596412800000,9179.44,11068.04,1.80340219,3398.92,20.57,34.17,vdo_trend_accel,trailing_stop
23,2020-08-10T04:00:00Z,2020-08-22T00:00:00Z,1597032000000,1598054400000,11889.27,11527.77,1.60903338,-588.16,-3.04,11.83,vdo_trend_accel,emergency_dd
