time,ts_ms,side,qty,price,fee,notional,reason
2019-04-10T20:00:00Z,1554926400000,BUY,0.07904840,5368.19,0.6365,424.35,vdo_trend_accel
2019-04-14T12:00:00Z,1555243200000,BUY,0.30984986,5052.03,2.3481,1565.37,vdo_trend
2019-04-15T00:00:00Z,1555286400000,BUY,0.16344680,5136.41,1.2593,839.53,vdo_trend_accel
2019-04-17T12:00:00Z,1555502400000,BUY,0.07507974,5222.78,0.5882,392.12,vdo_trend_accel
2019-04-18T20:00:00Z,1555617600000,BUY,0.04755088,5267.99,0.3757,250.50,vdo_trend
2019-04-19T20:00:00Z,1555704000000,BUY,0.04975282,5275.91,0.3937,262.49,vdo_trend_accel
2019-04-20T08:00:00Z,1555747200000,BUY,0.04801007,5310.40,0.3824,254.95,vdo_trend_accel
2019-04-22T20:00:00Z,1555963200000,BUY,0.04364248,5360.05,0.3509,233.93,vdo_trend_accel
2019-04-28T04:00:00Z,1556424000000,SELL,0.81638106,5301.26,6.4918,4327.85,trailing_stop
2019-04-29T00:00:00Z,1556496000000,BUY,0.15057483,5315.12,1.2005,800.32,vdo_trend_accel
2019-04-30T04:00:00Z,1556596800000,BUY,0.22452860,5222.82,1.7590,1172.67,vdo_dip_buy
2019-04-30T16:00:00Z,1556640000000,BUY,0.28425504,5318.31,2.2676,1511.76,vdo_trend_accel
2019-05-01T04:00:00Z,1556683200000,BUY,0.18097972,5354.27,1.4535,969.01,vdo_trend_accel
2019-05-01T16:00:00Z,1556726400000,BUY,0.04742418,5360.70,0.3813,254.23,vdo_trend_accel
2019-05-02T04:00:00Z,1556769600000,BUY,0.66001907,5392.90,5.3391,3559.42,vdo_trend_accel
2019-05-02T16:00:00Z,1556812800000,BUY,0.10424592,5529.52,0.8646,576.43,vdo_trend_accel
2019-05-04T04:00:00Z,1556942400000,BUY,0.03106451,5847.34,0.2725,181.64,vdo_trend_accel
2019-05-07T04:00:00Z,1557201600000,BUY,0.08495476,5961.87,0.7597,506.49,vdo_trend_accel
2019-05-12T16:00:00Z,1557676800000,SELL,1.76804663,6835.66,18.1286,12085.76,trailing_stop
2019-05-13T16:00:00Z,1557763200000,BUY,0.09521827,7776.88,1.1108,740.50,vdo_trend_accel
2019-05-17T08:00:00Z,1558080000000,BUY,0.17702555,7307.17,1.9403,1293.56,vdo_dip_buy
2019-05-17T12:00:00Z,1558094400000,SELL,0.27224382,7147.03,2.9186,1945.73,trailing_stop
2019-05-19T04:00:00Z,1558238400000,BUY,0.55435220,7911.91,6.5790,4385.98,vdo_trend_accel
2019-05-19T16:00:00Z,1558281600000,BUY,0.55135358,7969.15,6.5907,4393.82,vdo_trend_accel
2019-05-20T12:00:00Z,1558353600000,BUY,0.17778828,7840.33,2.0909,1393.92,vdo_trend
2019-05-21T00:00:00Z,1558396800000,BUY,0.07524647,7945.10,0.8968,597.84,vdo_trend
2019-05-23T00:00:00Z,1558569600000,SELL,1.35874054,7620.17,15.5308,10353.84,emergency_dd
2019-05-24T12:00:00Z,1558699200000,BUY,0.52945115,7986.63,6.3428,4228.53,vdo_trend_accel
2019-05-25T08:00:00Z,1558771200000,BUY,0.31237692,7966.58,3.7329,2488.58,vdo_trend
2019-05-26T20:00:00Z,1558900800000,BUY,0.15595679,8488.48,1.9858,1323.84,vdo_trend_accel
2019-05-27T16:00:00Z,1558972800000,BUY,0.03165063,8807.76,0.4182,278.77,vdo_trend_accel
2019-06-04T00:00:00Z,1559606400000,SELL,1.02943549,8107.55,12.5193,8346.20,trailing_stop
2019-06-06T04:00:00Z,1559793600000,BUY,0.53806670,7859.71,6.3436,4229.05,vdo_trend_accel
2019-06-07T00:00:00Z,1559865600000,BUY,0.29502842,7795.36,3.4498,2299.85,vdo_trend_accel
2019-06-08T12:00:00Z,1559995200000,BUY,0.18061655,7989.31,2.1645,1443.00,vdo_trend
2019-06-09T08:00:00Z,1560067200000,BUY,0.19965387,7906.82,2.3679,1578.63,vdo_trend
2019-06-10T16:00:00Z,1560182400000,BUY,0.09285606,7922.37,1.1035,735.64,vdo_trend_accel
2019-06-11T04:00:00Z,1560225600000,BUY,0.10874636,7940.29,1.2952,863.48,vdo_trend_accel
2019-06-12T04:00:00Z,1560312000000,BUY,0.03333161,7967.24,0.3983,265.56,vdo_trend_accel
2019-06-12T20:00:00Z,1560369600000,BUY,0.03163026,8126.66,0.3856,257.05,vdo_trend_accel
2019-06-23T20:00:00Z,1561320000000,SELL,0.73996517,11047.43,12.2621,8174.72,mr_defensive_exit
2019-06-27T12:00:00Z,1561636800000,SELL,0.73996465,12243.33,13.5894,9059.63,trailing_stop
