peak_date,peak_nav,trough_date,trough_nav,recovery_date,drawdown_pct,bars_to_trough,bars_to_recovery,days_to_trough,days_to_recovery
2019-05-12T07:59:59Z,13793.84,2019-05-12T15:59:59Z,12659.46,2019-05-13T15:59:59Z,8.22,2,8,0.3,1.3
2019-05-14T07:59:59Z,15283.34,2019-05-23T07:59:59Z,13459.69,2019-05-27T03:59:59Z,11.93,54,77,9.0,12.8
2019-05-30T15:59:59Z,15766.56,2019-06-09T23:59:59Z,13981.25,2019-06-15T15:59:59Z,11.32,62,96,10.3,16.0
2019-06-26T19:59:59Z,25015.56,2020-06-27T19:59:59Z,17421.05,2020-11-05T15:59:59Z,30.36,2202,2987,367.0,497.8
2020-11-06T07:59:59Z,26206.52,2020-11-07T19:59:59Z,24540.61,2020-11-09T11:59:59Z,6.36,9,19,1.5,3.2
2020-11-24T15:59:59Z,32074.78,2020-11-26T11:59:59Z,29205.32,2020-12-16T15:59:59Z,8.95,11,132,1.8,22.0
2020-12-21T07:59:59Z,37769.74,2020-12-21T11:59:59Z,35748.86,2020-12-25T11:59:59Z,5.35,1,25,0.2,4.2
2021-01-03T07:59:59Z,53632.47,2021-01-04T11:59:59Z,48013.92,2021-01-06T07:59:59Z,10.48,7,18,1.2,3.0
2021-01-08T11:59:59Z,63984.61,2021-01-27T15:59:59Z,50754.25,2021-02-14T07:59:59Z,20.68,115,221,19.2,36.8
2021-02-21T19:59:59Z,74368.99,2021-03-06T15:59:59Z,65666.63,2021-03-11T23:59:59Z,11.7,77,109,12.8,18.2
2021-03-14T03:59:59Z,79133.08,2021-03-25T15:59:59Z,67855.19,2021-04-30T15:59:59Z,14.25,69,285,11.5,47.5
2021-05-03T07:59:59Z,82246.55,2021-09-28T23:59:59Z,60437.04,2021-10-15T03:59:59Z,26.52,892,989,148.7,164.8
2021-10-20T15:59:59Z,94167.95,2021-10-27T23:59:59Z,84379.0,2021-11-09T03:59:59Z,10.4,44,117,7.3,19.5
2021-11-09T03:59:59Z,95445.19,2023-06-15T15:59:59Z,65575.17,2023-12-04T07:59:59Z,31.3,3501,4531,583.5,755.2
2023-12-09T07:59:59Z,103066.42,2023-12-18T03:59:59Z,93193.48,2024-01-08T19:59:59Z,9.58,53,183,8.8,30.5
2024-01-11T11:59:59Z,105254.62,2024-01-23T19:59:59Z,92690.16,2024-02-08T15:59:59Z,11.94,74,169,12.3,28.2
2024-03-04T23:59:59Z,141217.78,2024-03-05T19:59:59Z,128503.77,2024-03-08T19:59:59Z,9.0,5,23,0.8,3.8
2024-03-13T19:59:59Z,150711.4,2024-05-01T15:59:59Z,130927.11,2024-05-20T19:59:59Z,13.13,293,408,48.8,68.0
2024-05-20T23:59:59Z,153908.25,2024-08-07T19:59:59Z,115281.93,2024-11-11T19:59:59Z,25.1,473,1049,78.8,174.8
2024-11-13T15:59:59Z,168187.44,2024-11-14T23:59:59Z,159055.1,2024-11-19T19:59:59Z,5.43,8,37,1.3,6.2
2024-12-05T03:59:59Z,188435.18,2024-12-09T23:59:59Z,177809.62,2024-12-16T15:59:59Z,5.64,29,69,4.8,11.5
2024-12-17T03:59:59Z,190602.79,2024-12-30T15:59:59Z,172276.4,2025-01-17T15:59:59Z,9.61,81,189,13.5,31.5
2025-01-20T11:59:59Z,200898.76,2025-03-31T03:59:59Z,128468.85,,36.05,418,,69.7,
