time,ts_ms,side,qty,price,fee,notional,reason
2019-04-10T20:00:00Z,1554926400000,BUY,0.07661674,5365.78,0.4111,411.11,vdo_trend_accel
2019-04-14T12:00:00Z,1555243200000,BUY,0.30033157,5049.76,1.5166,1516.60,vdo_trend
2019-04-15T00:00:00Z,1555286400000,BUY,0.15846507,5134.10,0.8136,813.58,vdo_trend_accel
2019-04-17T12:00:00Z,1555502400000,BUY,0.07280507,5220.43,0.3801,380.07,vdo_trend_accel
2019-04-18T20:00:00Z,1555617600000,BUY,0.04611527,5265.62,0.2428,242.83,vdo_trend
2019-04-19T20:00:00Z,1555704000000,BUY,0.04825466,5273.54,0.2545,254.47,vdo_trend_accel
2019-04-20T08:00:00Z,1555747200000,BUY,0.04656943,5308.01,0.2472,247.19,vdo_trend_accel
2019-04-22T20:00:00Z,1555963200000,BUY,0.04233887,5357.64,0.2268,226.84,vdo_trend_accel
2019-04-28T04:00:00Z,1556424000000,SELL,0.79149669,5303.65,4.1978,4197.82,trailing_stop
2019-04-29T00:00:00Z,1556496000000,BUY,0.14606056,5312.73,0.7760,775.98,vdo_trend_accel
2019-04-30T04:00:00Z,1556596800000,BUY,0.21781664,5220.47,1.1371,1137.11,vdo_dip_buy
2019-04-30T16:00:00Z,1556640000000,BUY,0.27580788,5315.92,1.4662,1466.17,vdo_trend_accel
2019-05-01T04:00:00Z,1556683200000,BUY,0.17568377,5351.86,0.9402,940.24,vdo_trend_accel
2019-05-01T16:00:00Z,1556726400000,BUY,0.04607400,5358.29,0.2469,246.88,vdo_trend_accel
2019-05-02T04:00:00Z,1556769600000,BUY,0.64051430,5390.47,3.4527,3452.68,vdo_trend_accel
2019-05-02T16:00:00Z,1556812800000,BUY,0.10138028,5527.03,0.5603,560.33,vdo_trend_accel
2019-05-04T04:00:00Z,1556942400000,BUY,0.03022395,5844.71,0.1767,176.65,vdo_trend_accel
2019-05-07T04:00:00Z,1557201600000,BUY,0.08266963,5959.19,0.4926,492.64,vdo_trend_accel
2019-05-17T04:00:00Z,1558065600000,SELL,1.71623102,7339.90,12.5970,12596.97,trailing_stop
2019-05-17T20:00:00Z,1558123200000,BUY,0.64331014,7139.66,4.5930,4593.01,vdo_dip_buy
2019-05-19T08:00:00Z,1558252800000,BUY,0.60200763,7913.49,4.7640,4763.98,vdo_trend_accel
2019-05-19T20:00:00Z,1558296000000,BUY,0.40679931,7956.07,3.2365,3236.53,vdo_trend_accel
2019-06-04T00:00:00Z,1559606400000,SELL,1.65211708,8111.20,13.4006,13400.65,trailing_stop
2019-06-06T04:00:00Z,1559793600000,BUY,0.61945629,7856.18,4.8666,4866.56,vdo_trend_accel
2019-06-07T00:00:00Z,1559865600000,BUY,0.33982951,7791.85,2.6479,2647.90,vdo_trend_accel
2019-06-08T12:00:00Z,1559995200000,BUY,0.20812597,7985.72,1.6620,1662.04,vdo_trend
2019-06-09T08:00:00Z,1560067200000,BUY,0.23014001,7903.26,1.8189,1818.86,vdo_trend
2019-06-10T16:00:00Z,1560182400000,BUY,0.10709877,7918.80,0.8481,848.09,vdo_trend_accel
2019-06-11T04:00:00Z,1560225600000,BUY,0.12547596,7936.72,0.9959,995.87,vdo_trend_accel
2019-06-12T04:00:00Z,1560312000000,BUY,0.03849424,7963.66,0.3066,306.55,vdo_trend_accel
2019-06-12T20:00:00Z,1560369600000,BUY,0.03654381,8123.01,0.2968,296.85,vdo_trend_accel
2019-06-27T16:00:00Z,1561651200000,SELL,1.70516455,11823.49,20.1610,20161.00,trailing_stop
2019-07-03T04:00:00Z,1562126400000,BUY,0.18111714,11295.67,2.0458,2045.84,vdo_trend_accel
2019-07-06T04:00:00Z,1562385600000,BUY,0.12112381,11452.11,1.3871,1387.12,vdo_trend_accel
2019-07-07T20:00:00Z,1562529600000,BUY,0.62876590,11480.49,7.2185,7218.54,vdo_trend_accel
2019-07-08T08:00:00Z,1562572800000,BUY,0.42757853,11426.80,4.8859,4885.86,vdo_trend_accel
2019-07-12T04:00:00Z,1562904000000,SELL,1.35858538,11183.36,15.1935,15193.54,trailing_stop
2019-07-18T08:00:00Z,1563436800000,BUY,0.16599243,9793.99,1.6257,1625.73,vdo_trend_accel
2019-07-18T20:00:00Z,1563480000000,BUY,0.10699366,10498.31,1.1233,1123.25,vdo_trend_accel
2019-07-19T08:00:00Z,1563523200000,BUY,0.09406058,10605.15,0.9975,997.53,vdo_trend_accel
2019-07-19T20:00:00Z,1563566400000,BUY,0.03765663,10397.68,0.3915,391.54,vdo_trend
2019-07-20T08:00:00Z,1563609600000,BUY,0.31837970,10564.75,3.3636,3363.60,vdo_trend
2019-07-20T20:00:00Z,1563652800000,BUY,0.15103861,10904.66,1.6470,1647.02,vdo_trend_accel
2019-07-22T00:00:00Z,1563753600000,BUY,0.24215280,10595.98,2.5658,2565.85,vdo_trend_accel
2019-07-23T16:00:00Z,1563897600000,SELL,1.11627440,9925.13,11.0792,11079.17,trailing_stop
2019-07-25T04:00:00Z,1564027200000,BUY,0.44393280,10095.67,4.4818,4481.80,vdo_trend_accel
2019-07-27T08:00:00Z,1564214400000,BUY,0.36104737,10062.85,3.6332,3633.17,vdo_trend_accel
2019-07-28T20:00:00Z,1564344000000,BUY,0.61092116,9560.95,5.8410,5840.98,vdo_trend_accel
2019-07-29T08:00:00Z,1564387200000,BUY,0.33704990,9630.08,3.2458,3245.82,vdo_trend_accel
2019-08-04T16:00:00Z,1564934400000,BUY,0.06242690,10950.24,0.6836,683.59,vdo_trend_accel
2019-08-05T04:00:00Z,1564977600000,BUY,0.03190595,11571.23,0.3692,369.19,vdo_trend_accel
2019-08-10T12:00:00Z,1565438400000,SELL,1.84728409,11388.96,21.0387,21038.65,trailing_stop
2019-08-16T16:00:00Z,1565971200000,BUY,0.75106085,10394.70,7.8071,7807.06,vdo_trend_accel
2019-08-17T04:00:00Z,1566014400000,BUY,0.75554741,10290.99,7.7753,7775.33,vdo_trend
2019-08-17T16:00:00Z,1566057600000,BUY,0.46430989,10317.96,4.7907,4790.73,vdo_trend_accel
2019-08-18T04:00:00Z,1566100800000,BUY,0.07957975,10118.53,0.8052,805.23,vdo_trend
2019-08-21T16:00:00Z,1566403200000,SELL,2.05049790,9981.28,20.4666,20466.59,emergency_dd
2019-08-23T16:00:00Z,1566576000000,BUY,0.72507050,10403.43,7.5432,7543.22,vdo_trend_accel
