candidate_trade_id,baseline_trade_id,side,candidate_entry_ts,baseline_entry_ts,candidate_exit_ts,baseline_exit_ts,entry_ts_delta_ms,entry_ts_delta_bars,candidate_return_pct,baseline_return_pct,delta_return_pct,candidate_pnl_usd,baseline_pnl_usd,delta_pnl,candidate_fees_usd,baseline_fees_usd,delta_fees_usd,candidate_entry_reason,baseline_entry_reason,candidate_exit_reason,baseline_exit_reason,candidate_max_exposure_during_trade,baseline_max_exposure_during_trade,candidate_exposure_at_entry,baseline_exposure_at_entry,candidate_exposure_at_exit,baseline_exposure_at_exit,candidate_win,baseline_win
1,1,long,2019-04-10T20:00:00Z,2019-04-10T20:00:00Z,2019-04-28T04:00:00Z,2019-04-28T04:00:00Z,0,0.0,2.079854,2.079854,0.0,82.828736,82.828736,0.0,13.030874,13.030874,0.0,vdo_trend_accel,vdo_trend_accel,trailing_stop,trailing_stop,0.447329,0.447329,0.084012,0.084012,0.0,0.0,1,1
2,2,long,2019-04-29T00:00:00Z,2019-04-29T00:00:00Z,2019-05-17T04:00:00Z,2019-05-17T04:00:00Z,0,0.0,32.955161,32.955161,0.0,2986.132394,2986.132394,0.0,31.855571,31.855571,0.0,vdo_trend_accel,vdo_trend_accel,trailing_stop,trailing_stop,0.935599,0.935599,0.079364,0.079364,0.0,0.0,1,1
3,3,long,2019-05-19T04:00:00Z,2019-05-19T04:00:00Z,2019-05-23T08:00:00Z,2019-05-23T00:00:00Z,0,0.0,-4.145702,-3.837558,-0.308144,-391.945757,-468.835039,76.889282,26.843886,34.645561,-7.801675,vdo_trend_accel,vdo_trend_accel,emergency_dd,emergency_dd,0.701811,0.904021,0.350399,0.350399,0.0,0.0,0,0
4,4,long,2019-05-25T08:00:00Z,2019-05-25T08:00:00Z,2019-06-04T00:00:00Z,2019-06-04T00:00:00Z,0,0.0,-0.726505,-1.919742,1.193237,-51.094575,-183.307783,132.213208,17.446232,26.351284,-8.905052,vdo_trend,vdo_trend,trailing_stop,trailing_stop,0.484539,0.72274,0.319883,0.319883,0.0,0.0,0,0
5,5,long,2019-06-06T04:00:00Z,2019-06-06T04:00:00Z,2019-06-27T16:00:00Z,2019-06-27T16:00:00Z,0,0.0,46.334604,49.862815,-3.528211,5410.925963,5899.956284,-489.030321,43.35559,44.547899,-1.192309,vdo_trend_accel,vdo_trend_accel,trailing_stop,trailing_stop,0.960587,0.978518,0.347683,0.347683,0.0,0.0,1,1
6,6,long,2019-07-03T04:00:00Z,2019-07-03T04:00:00Z,2019-07-12T04:00:00Z,2019-07-12T04:00:00Z,0,0.0,-3.203031,-2.300793,-0.902238,-227.88729,-337.134997,109.247707,20.091622,40.851246,-20.759624,vdo_trend_accel,vdo_trend_accel,trailing_stop,trailing_stop,0.406514,0.778169,0.098803,0.098803,0.0,0.0,0,0
7,7,long,2019-07-18T08:00:00Z,2019-07-18T08:00:00Z,2019-07-23T16:00:00Z,2019-07-23T16:00:00Z,0,0.0,-5.151618,-5.915018,0.7634,-391.495424,-671.37464,279.879216,21.61423,32.273928,-10.659698,vdo_trend_accel,vdo_trend_accel,trailing_stop,trailing_stop,0.420749,0.621807,0.080129,0.080129,0.0,0.0,0,0
8,8,long,2019-07-25T04:00:00Z,2019-07-25T04:00:00Z,2019-08-11T00:00:00Z,2019-08-11T00:00:00Z,0,0.0,12.136002,14.346491,-2.210489,1624.92061,2297.754839,-672.834229,43.203958,52.118169,-8.914211,vdo_trend_accel,vdo_trend_accel,trailing_stop,trailing_stop,0.814567,0.953824,0.228511,0.228511,0.0,0.0,1,1
9,9,long,2019-08-16T16:00:00Z,2019-08-16T16:00:00Z,2019-08-21T08:00:00Z,2019-08-21T16:00:00Z,0,0.0,-3.123702,-3.448121,0.324419,-606.423191,-664.575565,58.152374,54.782689,54.53331,0.249379,vdo_trend_accel,vdo_trend_accel,emergency_dd,emergency_dd,0.981648,0.953584,0.351679,0.351679,0.0,0.0,0,0
10,10,long,2019-08-23T16:00:00Z,2019-08-23T16:00:00Z,2019-08-28T20:00:00Z,2019-08-28T20:00:00Z,0,0.0,-6.204782,-5.804519,-0.400263,-730.254776,-945.887627,215.632851,33.453733,46.340287,-12.886554,vdo_trend_accel,vdo_trend_accel,emergency_dd,emergency_dd,0.614387,0.840279,0.35044,0.35044,0.0,0.0,0,0
