trade_id,side,entry_ts,exit_ts,return_pct,pnl_usd,fees_usd,n_buy_fills,n_sell_fills,entry_reason,exit_reason,max_exposure_during_trade,exposure_at_entry,exposure_at_exit,entry_ts_ms,exit_ts_ms,entry_price,exit_price,qty,days_held,regime,label
1,long,2019-04-10T20:00:00Z,2019-04-28T04:00:00Z,2.079854,82.828736,13.030874,8,1,vdo_trend_accel,trailing_stop,0.447329,0.084012,0.0,1554926400000,1556424000000,5193.252696,5301.264757,0.82778933,17.333333,AnalyticalRegime.NEUTRAL,candidate
2,long,2019-04-29T00:00:00Z,2019-05-17T04:00:00Z,32.955161,2986.132394,31.855571,10,1,vdo_trend_accel,trailing_stop,0.935599,0.079364,0.0,1556496000000,1558065600000,5518.099381,7336.597896,1.65208461,18.166667,AnalyticalRegime.NEUTRAL,candidate
3,long,2019-05-19T04:00:00Z,2019-05-23T08:00:00Z,-4.145702,-391.945757,26.843886,6,1,vdo_trend_accel,emergency_dd,0.701811,0.350399,0.0,1558238400000,1558598400000,7908.14198,7580.294017,1.15543777,4.166667,AnalyticalRegime.SHOCK,candidate
4,long,2019-05-25T08:00:00Z,2019-06-04T00:00:00Z,-0.726505,-51.094575,17.446232,3,1,vdo_trend,trailing_stop,0.484539,0.319883,0.0,1558771200000,1559606400000,8166.879129,8107.546369,0.71466862,9.666667,AnalyticalRegime.BULL,candidate
5,long,2019-06-06T04:00:00Z,2019-06-27T16:00:00Z,46.334604,5410.925963,43.35559,12,1,vdo_trend_accel,trailing_stop,0.960587,0.347683,0.0,1559793600000,1561651200000,8076.130089,11818.172958,1.45286451,21.5,AnalyticalRegime.BULL,candidate
6,long,2019-07-03T04:00:00Z,2019-07-12T04:00:00Z,-3.203031,-227.88729,20.091622,5,1,vdo_trend_accel,trailing_stop,0.406514,0.098803,0.0,1562126400000,1562904000000,11548.216178,11178.323287,0.58937327,9.0,AnalyticalRegime.SHOCK,candidate
7,long,2019-07-18T08:00:00Z,2019-07-23T16:00:00Z,-5.151618,-391.495424,21.61423,7,1,vdo_trend_accel,trailing_stop,0.420749,0.080129,0.0,1563436800000,1563897600000,10459.49515,9920.661893,0.70703512,5.333333,AnalyticalRegime.SHOCK,candidate
8,long,2019-07-25T04:00:00Z,2019-08-11T00:00:00Z,12.136002,1624.92061,43.203958,9,1,vdo_trend_accel,trailing_stop,0.814567,0.228511,0.0,1564027200000,1565481600000,10075.206355,11297.933587,1.34760915,16.833333,AnalyticalRegime.CHOP,candidate
9,long,2019-08-16T16:00:00Z,2019-08-21T08:00:00Z,-3.123702,-606.423191,54.782689,7,1,vdo_trend_accel,emergency_dd,0.981648,0.351679,0.0,1565971200000,1566374400000,10455.450701,10128.853545,1.77425442,4.666667,AnalyticalRegime.BULL,candidate
10,long,2019-08-23T16:00:00Z,2019-08-28T20:00:00Z,-6.204782,-730.254776,33.453733,5,1,vdo_trend_accel,emergency_dd,0.614387,0.35044,0.0,1566576000000,1567022400000,10315.608212,9675.547191,1.11561778,5.166667,AnalyticalRegime.CHOP,candidate
11,long,2019-08-31T00:00:00Z,2019-09-09T04:00:00Z,4.783679,634.646134,42.137166,7,1,vdo_trend_accel,trailing_stop,0.798567,0.350983,0.0,1567209600000,1568001600000,9820.157516,10289.922355,1.39688376,9.166667,AnalyticalRegime.BULL,candidate
12,long,2019-09-12T00:00:00Z,2019-09-19T04:00:00Z,-4.274909,-620.396016,41.222303,7,1,vdo_trend_accel,emergency_dd,0.774502,0.349304,0.0,1568246400000,1568865600000,10251.10515,9812.879756,1.36969479,7.166667,AnalyticalRegime.CHOP,candidate
13,long,2019-09-23T00:00:00Z,2019-09-24T20:00:00Z,-16.779707,-1038.29698,16.880415,1,1,vdo_trend_accel,emergency_dd,0.349221,0.349221,0.0,1569196800000,1569355200000,10038.080557,8353.720011,0.61188191,1.833333,AnalyticalRegime.BULL,candidate
14,long,2019-09-26T20:00:00Z,2019-10-14T12:00:00Z,1.43976,47.278432,11.09477,2,1,vdo_dip_buy,trailing_stop,0.232461,0.151462,0.0,1569528000000,1571054400000,8154.398194,8271.80199,0.45028754,17.666667,AnalyticalRegime.NEUTRAL,candidate
15,long,2019-11-02T00:00:00Z,2019-11-21T12:00:00Z,-15.2653,-1278.001918,23.007257,4,1,vdo_trend,emergency_dd,0.506174,0.291665,0.0,1572652800000,1574337600000,9278.126124,7861.792307,0.89488005,19.5,AnalyticalRegime.BULL,candidate
