close_time,close_time_ms,nav_mid,nav_liq,cash,btc_qty,exposure
2023-01-01T03:59:59Z,1672545599999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-01T07:59:59Z,1672559999999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-01T11:59:59Z,1672574399999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-01T15:59:59Z,1672588799999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-01T19:59:59Z,1672603199999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-01T23:59:59Z,1672617599999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-02T03:59:59Z,1672631999999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-02T07:59:59Z,1672646399999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-02T11:59:59Z,1672660799999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-02T15:59:59Z,1672675199999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-02T19:59:59Z,1672689599999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-02T23:59:59Z,1672703999999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-03T03:59:59Z,1672718399999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-03T07:59:59Z,1672732799999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-03T11:59:59Z,1672747199999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-03T15:59:59Z,1672761599999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-03T19:59:59Z,1672775999999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-03T23:59:59Z,1672790399999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-04T03:59:59Z,1672804799999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-04T07:59:59Z,1672819199999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-04T11:59:59Z,1672833599999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-04T15:59:59Z,1672847999999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-04T19:59:59Z,1672862399999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-04T23:59:59Z,1672876799999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-05T03:59:59Z,1672891199999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-05T07:59:59Z,1672905599999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-05T11:59:59Z,1672919999999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-05T15:59:59Z,1672934399999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-05T19:59:59Z,1672948799999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-05T23:59:59Z,1672963199999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-06T03:59:59Z,1672977599999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-06T07:59:59Z,1672991999999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-06T11:59:59Z,1673006399999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-06T15:59:59Z,1673020799999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-06T19:59:59Z,1673035199999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-06T23:59:59Z,1673049599999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-07T03:59:59Z,1673063999999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-07T07:59:59Z,1673078399999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-07T11:59:59Z,1673092799999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-07T15:59:59Z,1673107199999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-07T19:59:59Z,1673121599999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-07T23:59:59Z,1673135999999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-08T03:59:59Z,1673150399999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-08T07:59:59Z,1673164799999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-08T11:59:59Z,1673179199999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-08T15:59:59Z,1673193599999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-08T19:59:59Z,1673207999999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-08T23:59:59Z,1673222399999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-09T03:59:59Z,1673236799999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-09T07:59:59Z,1673251199999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-09T11:59:59Z,1673265599999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-09T15:59:59Z,1673279999999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-09T19:59:59Z,1673294399999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-09T23:59:59Z,1673308799999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-10T03:59:59Z,1673323199999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-10T07:59:59Z,1673337599999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-10T11:59:59Z,1673351999999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-10T15:59:59Z,1673366399999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-10T19:59:59Z,1673380799999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-10T23:59:59Z,1673395199999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-11T03:59:59Z,1673409599999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-11T07:59:59Z,1673423999999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-11T11:59:59Z,1673438399999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-11T15:59:59Z,1673452799999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-11T19:59:59Z,1673467199999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-11T23:59:59Z,1673481599999,10000.00,10000.00,10000.00,0.00000000,0.000000
2023-01-12T03:59:59Z,1673495999999,10000.00,10000.00,10000.00,0.00000000,0.000000
